NKD ^^^ NA KRAWĘDZI DEPORTACJI;0000000025416;15.00;1.00;0000000025416;23;LPs;NIKT;;;;;;6.77
RESTARTS, THE ^^^ SLUMWORD;0000000025423;38.00;0.00;0000000025423;23;LP;NIKT;;;;;;22.80
PISSED ^^^ GREATEST HITS;0000000025454;30.00;0.00;0000000025454;23;LP;NIKT;;;;;;16.15
PUBLIC ^^^ ANOTHER DAY IN PARADISE;0000000025461;38.00;0.00;0000000025461;23;LP;NIKT;;;;;;22.80
NOTHING REMAINS ^^^ ! DREAM ?;0000000025492;38.00;0.00;0000000025492;23;LP;NIKT;;;;;;28.80
LESSER OF TWO ^^^ S/T;0000000025515;38.00;0.00;0000000025515;23;LP;NIKT;;;;;;22.80
OI POLLOI ^^^ FUAIM CATHA;0000000025539;47.00;1.00;0000000025539;23;LP;NIKT;Combat Rock Industry;;;;;30.21
SILNA WOLA ^^^ CHAOS;0000000025546;15.00;0.00;0000000025546;23;LP;NIKT;;;;;;8.55
URBN DK ^^^ INNOCENT VICTIMS;0000000025560;38.00;1.00;0000000025560;23;LP;NIKT;;;;;;22.80
SPECK ^^^ S/T;0000000025577;38.00;1.00;0000000025577;23;LP;NIKT;;;;;;22.80
STRAWMAN ^^^ LOTTERY;0000000025591;25.29;2.00;0000000025591;23;LP;NIKT;;;;;;19.00
V/A ^^^ YAWP! - THE WORLD ACCORDING TO YAWP!;0000000025638;30.00;1.00;0000000025638;23;LP;NIKT;;;;;;16.15
ZEMEZLUC ^^^ LIVE IN UK;0000000025645;25.29;0.00;0000000025645;23;LP;NIKT;;;;;;19.00
WIND OF PAIN ^^^ WORLDMACHINE;0000000025669;25.29;0.00;0000000025669;23;LP;NIKT;;;;;;19.00
BEAUTIFUL BERT & THE LUSCIOUS ONES ^^^ S/T;0000000025737;38.00;1.00;0000000025737;23;LP;NIKT;Beer City Records;1997;Beer City Records 50;Punk/Rock;;22.80
BLINDFOLD ^^^ ASTEROID 164;0000000025744;38.00;0.00;0000000025744;23;LP;NIKT;;;;;;22.80
KOCHISE ^^^ DANS LE MEILLEUR DES MONDES...;0000000025751;38.00;0.00;0000000025751;23;LP;NIKT;;;;;;24.70
KIMUSAEWA ^^^ KURZE ABHANDLUNG VOM MENSCHEN...;0000000025768;25.29;0.00;0000000025768;23;LP;NIKT;;;;;;19.00
FAILURE FACE/EBS ^^^ S/T;0000000025829;30.00;0.00;0000000025829;23;LP;NIKT;;;;;;20.90
DISGUSTING LIES ^^^ PEWNEGO DNIA;0000000025836;25.29;0.00;0000000025836;23;LP;NIKT;;;;;;19.00
COURAGE ^^^ JEANNIE'S STORY;0000000025850;26.00;1.00;0000000025850;23;LP;NIKT;Let's Make Our Own Records;1990;LMOOR 013;Punk/Hardcore;;16.50
CONTRA ^^^ BOYS CLUB ANTHEMS;0000000025867;38.00;0.00;0000000025867;23;LP;NIKT;;;;;;24.70
COV ^^^ THE HERTZIE PROPHETS;0000000025874;30.00;1.00;0000000025874;23;LP;NIKT;Mister X Produzioni;1994;MRX 014;Punk/Rock;;16.15
CIVIL DISSIDENT ^^^ MENZIES' CRACK;0000000025881;38.00;0.00;0000000025881;23;LP;NIKT;;;;;;22.80
CLEAN SLATE ^^^ SALTISH;0000000025898;38.00;0.00;0000000025898;23;LP;NIKT;;;;;;22.80
BOMBRAID ^^^ DESTINATIONS;0000000025904;25.29;0.00;0000000025904;23;LP;NIKT;;;;;;19.00
